drifter_id,segment_id,L,omega_ast_bar,sense,npoints,duration_hours,xi_bar,kappa_bar,rho_x
2447,4,16.828773,-0.125097,cw,3471,3471.0000,-0.936644,59.201803,0.000000
69341,8,6.005295,0.500982,ccw,244,244.0000,0.763470,4.541773,0.007471
6938,9,3.039541,-0.114423,cw,707,707.0000,-0.907969,59.909559,0.034694
6935,10,5.734614,0.175975,ccw,820,820.0000,0.934535,37.695313,0.000000
128,38,6.557577,0.258504,ccw,666,666.0000,0.878730,17.712517,0.000000
65,48,2.943027,-0.066747,cw,1307,1307.0000,-0.894016,59.439677,0.069090
65,48,2.791060,0.421860,ccw,180,180.0000,0.717810,8.848216,0.068957
130,52,3.318682,0.067958,ccw,1318,1318.0000,0.887536,41.259324,0.020532
115,60,2.268171,0.310278,ccw,177,177.0000,0.912283,7.068334,0.015108
177,90,2.357311,0.140400,ccw,409,409.0000,0.933620,21.202262,0.074950
190,92,2.221301,0.208689,ccw,257,257.0000,0.926003,22.159109,0.069716
76,96,6.065407,0.233307,ccw,603,603.0000,0.892341,19.061184,0.000000
72,101,2.261365,0.436611,ccw,127,127.0000,0.845033,2.048863,0.024201
61,115,1.840231,0.177875,ccw,243,243.0000,0.961962,8.666622,0.094942
61,115,2.798210,0.370655,ccw,172,172.0000,0.972242,7.811478,0.000000
61,115,2.160286,0.261097,ccw,231,231.0000,0.909456,16.568858,0.052512
194,131,4.647049,0.240004,ccw,475,475.0000,0.877274,16.918517,0.000000
38,133,2.275516,-0.488264,cw,96,96.0000,-0.898930,2.316486,0.044228
58,143,2.816798,0.216553,ccw,295,295.0000,0.848672,8.803991,0.086681
83,158,6.768584,0.097990,ccw,1559,1559.0000,0.809515,41.856063,0.000000
59,160,3.642043,0.248500,ccw,377,377.0000,0.934127,7.816771,0.000000
59,160,1.695855,0.341188,ccw,122,122.0000,0.899284,7.482033,0.025460
151,164,5.151385,0.276583,ccw,432,432.0000,0.721618,10.558464,0.049581
68,165,2.492386,0.228594,ccw,259,259.0000,0.866861,16.455296,0.099873
82,169,2.867602,0.044834,ccw,1450,1450.0000,0.902662,61.028029,0.061375
97,174,5.563010,-0.418088,cw,256,256.0000,-0.942630,5.353081,0.000000
156,189,2.813461,0.150605,ccw,346,346.0000,0.888006,24.918038,0.076305
140,200,2.333967,0.092239,ccw,654,654.0000,0.925126,36.221039,0.084231
215,220,2.780939,0.120148,ccw,451,451.0000,0.924635,19.030511,0.039592
257,322,5.680972,0.239305,ccw,562,562.0000,0.904659,11.232132,0.000000
325,346,2.279480,0.280522,ccw,197,197.0000,0.853086,4.391087,0.064430
335,362,5.505850,0.090367,ccw,1353,1353.0000,0.814573,43.841602,0.000000
384,389,2.909358,-0.096319,cw,769,769.0000,-0.935478,24.801895,0.029705
493,405,5.716412,0.162541,ccw,946,946.0000,0.874646,47.188498,0.000000
510,445,8.399286,0.159409,ccw,1323,1323.0000,0.752125,39.128345,0.000000
569,482,6.206128,-0.130387,cw,1027,1027.0000,-0.791803,15.397014,0.018998
636,506,4.285095,-0.101758,cw,1247,1247.0000,-0.982691,127.885145,0.000000
636,506,8.241688,-0.143028,cw,1556,1556.0000,-0.916953,52.898310,0.000000
655,596,3.609888,0.172366,ccw,507,507.0000,0.906134,16.359921,0.000000
20027,665,5.020379,-0.054445,cw,2276,2276.0000,-0.868796,75.484419,0.000000
20027,665,5.583068,0.239278,ccw,664,664.0000,0.818919,15.695580,0.000000
9818773,676,17.915322,1.084637,ccw,460,460.0000,0.756516,3.225274,0.000000
9818773,676,10.428370,0.886141,ccw,287,287.0000,0.752284,2.618124,0.000000
9815989,677,12.132244,0.439026,ccw,627,627.0000,0.899661,6.214306,0.000000
22167,686,5.201113,0.102074,ccw,1046,1046.0000,0.852346,17.784552,0.000000
2022911,687,3.582854,-0.060042,cw,1570,1570.0000,-0.873051,76.183529,0.022768
26658,693,2.973566,0.593119,ccw,128,128.0000,0.904147,4.256146,0.007307
39779,704,2.904492,1.467857,ccw,58,58.0000,0.830447,1.193766,0.078974
39779,704,3.886374,0.730340,ccw,131,131.0000,0.924001,3.628627,0.000000
39779,704,3.658616,-0.038059,cw,2855,2855.0000,-0.827438,93.817790,0.098629
40430,706,13.151592,0.191165,ccw,1604,1604.0000,0.865023,43.720336,0.000000
40430,706,4.604458,0.122018,ccw,1038,1038.0000,0.879017,37.289858,0.000000
118532,709,5.980943,0.848905,ccw,186,186.0000,0.806267,2.678902,0.000000
145689,711,4.955709,0.971963,ccw,125,125.0000,0.784034,2.249765,0.016044
7647,725,3.746498,0.190350,ccw,497,497.0000,0.806855,18.853017,0.095528
59151,737,24.871004,0.302729,ccw,2268,2268.0000,0.959628,23.300432,0.000000
59853,739,3.704165,0.355185,ccw,266,266.0000,0.848499,10.027799,0.000000
57923,742,2.814911,0.376031,ccw,184,184.0000,0.827225,12.288974,0.022488
57923,742,2.386187,0.234186,ccw,283,283.0000,0.936937,25.394737,0.038142
62283,745,4.126429,0.152539,ccw,805,805.0000,0.841547,46.026362,0.026480
62249,748,5.261277,-0.076888,cw,1995,1995.0000,-0.759542,139.435395,0.094870
78334,752,3.252604,0.097148,ccw,926,926.0000,0.904674,64.336522,0.022018
78334,752,9.669232,-0.041750,cw,4028,4028.0000,-0.887649,82.923944,0.000000
78334,752,3.290280,0.114118,ccw,871,871.0000,0.919888,45.583003,0.000000
78334,752,18.428060,0.186845,ccw,2409,2409.0000,0.939094,37.174155,0.000000
78334,752,5.946671,0.863519,ccw,181,181.0000,0.743916,2.398283,0.055769
75636,755,6.688080,1.225963,ccw,138,138.0000,0.740048,2.296246,0.020335
75635,757,2.629008,-0.121133,cw,615,615.0000,-0.922887,50.730304,0.056314
75633,758,3.128290,1.687889,ccw,52,52.0000,0.796168,2.262158,0.000000
88562,765,2.309071,0.938535,ccw,62,62.0000,0.926154,3.211252,0.032127
88579,771,6.368015,0.535126,ccw,298,298.0000,0.961193,16.376420,0.000000
98905,786,2.544420,0.447689,ccw,152,152.0000,0.907234,21.788300,0.008831
98913,787,3.222836,-0.109884,cw,793,793.0000,-0.907895,107.280439,0.028354
98915,788,3.792429,-0.062726,cw,1639,1639.0000,-0.946227,61.919435,0.000000
98915,788,3.008426,-0.269626,cw,281,281.0000,-0.867673,7.700074,0.060202
98911,792,4.110543,-0.111504,cw,1064,1064.0000,-0.822632,106.759526,0.061718
71095,798,5.332639,0.173920,ccw,806,806.0000,0.801607,10.033296,0.017865
37389,802,2.411267,0.408185,ccw,136,136.0000,0.858468,3.334029,0.016161
37389,802,2.581879,0.370817,ccw,176,176.0000,0.902722,6.911627,0.008325
101968,803,3.753627,-0.028093,cw,4156,4156.0000,-0.864301,137.348315,0.027765
101830,809,4.021969,0.413961,ccw,226,226.0000,0.970721,4.730836,0.000000
101830,809,7.756552,1.093644,ccw,175,175.0000,0.698238,2.048533,0.024604
101565,810,7.781826,0.056164,ccw,2935,2935.0000,0.806970,50.268825,0.000000
101604,812,3.191264,0.939023,ccw,70,70.0000,0.922770,3.475262,0.000000
101604,812,2.138218,0.248315,ccw,208,208.0000,0.961564,8.576411,0.030512
101604,812,3.003963,0.464598,ccw,149,149.0000,0.886743,2.532101,0.003035
101605,813,3.572089,0.752374,ccw,115,115.0000,0.786239,3.200483,0.068651
101606,814,1.987194,0.792324,ccw,63,63.0000,0.930705,3.776294,0.065552
101997,823,3.206145,0.102684,ccw,799,799.0000,0.922264,21.358795,0.000000
133220,832,2.958952,0.162430,ccw,476,476.0000,0.859620,21.905880,0.093757
133220,832,2.905542,0.224670,ccw,347,347.0000,0.899467,14.312546,0.040494
133225,833,5.432725,0.093004,ccw,1562,1562.0000,0.775845,50.533460,0.040832
133225,833,4.518288,0.156808,ccw,756,756.0000,0.936488,18.595483,0.000000
127216,842,4.081694,0.275493,ccw,402,402.0000,0.887220,27.376053,0.000000
133207,844,2.991621,0.306647,ccw,252,252.0000,0.970471,26.743691,0.000000
114789,845,3.798961,0.264663,ccw,388,388.0000,0.830558,28.657975,0.021909
132497,858,5.866140,-0.096383,cw,1629,1629.0000,-0.834228,132.634976,0.000000
139742,860,2.249580,0.302065,ccw,203,203.0000,0.892405,9.133752,0.037205
114877,863,3.393110,0.077512,ccw,1351,1351.0000,0.852831,48.050797,0.063435
109004,879,5.359897,-0.076952,cw,1329,1329.0000,-0.755169,135.651061,0.095305
36964,884,5.105957,0.291233,ccw,398,398.0000,0.864588,11.759890,0.000000
39629,885,3.587502,0.334094,ccw,282,282.0000,0.933933,11.351075,0.000000
39629,885,3.037840,-0.044356,cw,1869,1869.0000,-0.901447,90.058456,0.039620
139740,886,5.684795,0.232309,ccw,566,566.0000,0.879875,11.558311,0.000000
139745,887,4.011848,0.296951,ccw,339,339.0000,0.895383,14.093204,0.000000
139745,887,7.958291,0.055138,ccw,3179,3179.0000,0.732459,86.887275,0.000000
139746,888,5.259920,0.360336,ccw,320,320.0000,0.773683,3.700189,0.000000
139746,888,8.221591,-0.450490,cw,292,292.0000,-0.686051,5.673830,0.062412
145794,889,3.918411,-0.166556,cw,577,577.0000,-0.919658,14.995897,0.000000
145805,890,3.630744,-0.044405,cw,2088,2088.0000,-0.918780,76.624701,0.008534
145805,890,8.196072,1.049348,ccw,200,200.0000,0.763745,2.552351,0.000000
106209,896,2.971114,-0.106456,cw,713,713.0000,-0.901154,111.098463,0.058675
102550,897,3.208271,-0.103957,cw,746,746.0000,-0.868348,99.096074,0.070490
139942,901,4.414954,0.098629,ccw,1119,1119.0000,0.913654,34.189609,0.000000
145522,904,1.904245,-0.422743,cw,130,130.0000,-0.922037,12.903831,0.074397
52824,923,3.661289,0.121831,ccw,590,590.0000,0.863968,36.304573,0.039592
23114,939,3.461518,0.781767,ccw,106,106.0000,0.926209,5.267632,0.000000
11,1852,2.715285,0.428821,ccw,167,167.0000,0.734849,2.687987,0.058743
4,1865,4.198574,0.706252,ccw,155,155.0000,0.747982,2.411309,0.041805
2,1867,2.250485,0.219284,ccw,270,270.0000,0.893686,7.861333,0.089892
5,1870,6.018453,0.996210,ccw,157,157.0000,0.731260,6.124465,0.019723
